ACOS                                                   0x2E746E53   float ACOS(float)
ACTIVATE_MENU_ITEM                                     0x608237A4   void ACTIVATE_MENU_ITEM(int menuid, int item, boolean activate)
ACTIVATE_REPLAY_MENU                                   0x61040B08   void ACTIVATE_REPLAY_MENU(void)
ACTIVATE_SCRIPT_POPULATION_ZONE                        0x3F90052    void ACTIVATE_SCRIPT_POPULATION_ZONE(void)
ACTIVATE_VECTOR_MAP                                    0x2E7D1C82   -
ADD_ADDITIONAL_POPULATION_MODEL                        0x7EDE120F   void ADD_ADDITIONAL_POPULATION_MODEL(uint model)
ADD_AREA_TO_NETWORK_RESTART_NODE_GROUP_MAPPING         0x52DF5310   -
ADD_BLIP_FOR_GANG_TERRITORY                            0x2C1B52CE   void ADD_BLIP_FOR_GANG_TERRITORY(float x0, float y0, float x1, float y1, int colour, int *blip)
ADD_BLIP_FOR_RADIUS                                    0x21804D1A   void ADD_BLIP_FOR_RADIUS(float x, float y, float z, int type, int *blip)
ADD_BLIP_FOR_WEAPON                                    0x4CA708B9   void ADD_BLIP_FOR_WEAPON(float x, float y, float z, int *blip)
ADD_EXPLOSION_WITH_DIRECTION                           0x71855E7C   -
ADD_FIRST_N_CHARACTERS_OF_STRING_TO_HTML_SCRIPT_OBJECT 0x75FC34EF   void ADD_FIRST_N_CHARACTERS_OF_STRING_TO_HTML_SCRIPT_OBJECT(int htmlobj, char *str, int n)
ADD_LINE_TO_SCRIPTED_CONVERSATION                      0x416413F6   void ADD_LINE_TO_SCRIPTED_CONVERSATION(uint conversation, int, int)
ADD_NAVMESH_REQUIRED_REGION                            0x6CB64BDB   int ADD_NAVMESH_REQUIRED_REGION(float x, float y, float z)
ADD_NETWORK_RESTART                                    0x6A6A12D7   -
ADD_NEW_FRONTEND_CONVERSATION_SPEAKER                  0x13D44996   void ADD_NEW_FRONTEND_CONVERSATION_SPEAKER(int, int)
ADD_PED_QUEUE                                          0x4E043F3C   -
ADD_PED_TO_CINEMATOGRAPHY_AI                           0x62687944   void ADD_PED_TO_CINEMATOGRAPHY_AI(int, Ped ped)
ADD_SPAWN_BLOCKING_DISC                                0x2B4E2A8C   -
ADD_SPHERE                                             0x42252652   -
